Name,Province,Riding,Party,House Owner,Landlord,Investments,Investment Portfolio
Arnold Viersen,Alberta,Peace River—Westlock,Conservative Party of Canada,Y,N,N,
Blaine Calkins,Alberta,Red Deer—Lacombe,Conservative Party of Canada,Y,N,N,
Blake Richards,Alberta,Banff—Airdrie,Conservative Party of Canada,Y,N,Y,"Trust, Finances"
Chris Warkentin,Alberta,Grande Prairie—Mackenzie,Conservative Party of Canada,Y,Y,Y,Developer
Damien Kurek,Alberta,Battle River—Crowfoot,Conservative Party of Canada,Y,Y,N,Landlord
Dane Lloyd,Alberta,Sturgeon River—Parkland,Conservative Party of Canada,Y,N,Y,Major natural resources investor
Earl Dreeshen,Alberta,Red Deer—Mountain View,Conservative Party of Canada,Y,N,N,
Garnett Genuis,Alberta,Sherwood Park—Fort Saskatchewan,Conservative Party of Canada,Y,Y,Y,gold and silver trust
Gerald Soroka,Alberta,Yellowhead,Conservative Party of Canada,Y,Y,Y,Farming investments
Glen Motz,Alberta,Medicine Hat—Cardston—Warner,Conservative Party of Canada,Y,Y,Y,investments in real estate
Greg Mclean,Alberta,Calgary Centre,Conservative Party of Canada,Y,Y,Y,"Energy, Old age care, Banking, infrastructure"
Jasraj Hallan,Alberta,Calgary Forest Lawn,Conservative Party of Canada,Y,Y,Y,Realty
John Barlow,Alberta,Foothills,Conservative Party of Canada,Y,N,N,
Kelly Mccauley,Alberta,Edmonton West,Conservative Party of Canada,Y,N,Y,Huge assets
Laila Goodridge,Alberta,Fort McMurray—Cold Lake,Conservative Party of Canada,Y,Y,N,
Len Webber,Alberta,Calgary Confederation,Conservative Party of Canada,Y,N,N,
Martin Shields,Alberta,Bow River,Conservative Party of Canada,UNDISCLOSED,UNDISCLOSED,UNDISCLOSED,
Matt Jeneroux,Alberta,Edmonton Riverbend,Conservative Party of Canada,Y,N,N,
Michael Cooper,Alberta,St. Albert—Edmonton,Conservative Party of Canada,Y,N,N,
Michelle Rempel Garner,Alberta,Calgary Nose Hill,Conservative Party of Canada,Y,Y,N,
Mike Lake,Alberta,Edmonton—Wetaskiwin,Conservative Party of Canada,Y,Y,Y,Huge assets
Pat Kelly,Alberta,Calgary Rocky Ridge,Conservative Party of Canada,Y,Y,Y,"Banking , energy, oil, spouse tech investment, hedge funds"
Rachael Thomas,Alberta,Lethbridge,Conservative Party of Canada,Y,Y,Y,"Landlord, AI, Business consulting"
Ron Liepert,Alberta,Calgary Signal Hill,Conservative Party of Canada,Y,N,Y,"Groceries, Resources, Energy"
Shannon Stubbs,Alberta,Lakeland,Conservative Party of Canada,Y,Y,Y,stock options private insurance
Shuvaloy Majumdar,Alberta,Calgary Heritage,Conservative Party of Canada,N,N,N,
Stephanie Kusie,Alberta,Calgary Midnapore,Conservative Party of Canada,Y,Y,Y,"oil, landlord"
Tim Uppal,Alberta,Edmonton Mill Woods,Conservative Party of Canada,Y,Y,Y,"Landlord, Google, Microstrategy, spouse in banking"
Tom Kmiec,Alberta,Calgary Shepard,Conservative Party of Canada,N,N,N,"had both, lost them in the divorce"
Ziad Aboultaif,Alberta,Edmonton Manning,Conservative Party of Canada,Y,Y,N,"Landlord,"
